#rank      cc Fish-z  rel-z        x        y        z    a11    a12    a13    a21    a22    a23    a31    a32    a33
1       1.383    nan    nan   13.834   59.458  -17.087 -0.816  0.548  0.184  0.184  0.548 -0.816 -0.548 -0.632 -0.548
2       1.371    nan    nan  -46.166   32.458  -23.087 -0.816 -0.184  0.548 -0.548  0.548 -0.632 -0.184 -0.816 -0.548
3       1.176    nan    nan   44.834  -41.542  -17.087  0.184  0.548  0.816 -0.548 -0.632  0.548  0.816 -0.548  0.184
4       1.148    nan    nan   13.834   57.458  -17.087  0.548 -0.632 -0.548 -0.816 -0.548 -0.184 -0.184  0.548 -0.816
5       1.146    nan    nan   12.834   58.458  -17.087  0.548 -0.632 -0.548 -0.816 -0.548 -0.184 -0.184  0.548 -0.816
6       1.140    nan    nan   44.834  -32.542  -22.087 -0.548 -0.632 -0.548 -0.816  0.548  0.184  0.184  0.548 -0.816
7       1.119    nan    nan  -14.166  -57.542  -17.087 -0.548  0.632  0.548  0.816  0.548  0.184 -0.184  0.548 -0.816
8       1.117    nan    nan   50.834   22.458  -22.087 -0.258 -0.362  0.896  0.362 -0.896 -0.258  0.896  0.258  0.362
9       1.037    nan    nan  -57.166  -16.542  -17.087  0.548 -0.632  0.548 -0.816 -0.548  0.184  0.184 -0.548 -0.816
10      1.033    nan    nan    6.834   56.458  -23.087 -1.000  0.000  0.000  0.000  0.604 -0.797 -0.000 -0.797 -0.604
11      0.991  2.719 303.899   56.834   16.458  -17.087 -0.548  0.632 -0.548  0.816  0.548 -0.184  0.184 -0.548 -0.816
12      0.975  2.180 243.583   57.834   18.458  -17.087 -0.604  0.000  0.797  0.000 -1.000  0.000  0.797  0.000  0.604
13      0.963  1.979 221.197   51.834   38.458   13.913 -0.816  0.184 -0.548  0.548  0.548 -0.632  0.184 -0.816 -0.548
14      0.962  1.973 220.488   50.834   39.458   17.913 -0.816  0.184 -0.548  0.548  0.548 -0.632  0.184 -0.816 -0.548
15      0.940  1.742 194.675   46.834   35.458   19.913  0.000 -0.797 -0.604 -1.000  0.000 -0.000  0.000  0.604 -0.797
16      0.935  1.695 189.407  -47.166  -35.542   19.913  0.000  0.797  0.604  1.000  0.000 -0.000 -0.000  0.604 -0.797
17      0.918  1.574 175.908  -44.166   40.458  -16.087  0.258 -0.896  0.362 -0.896 -0.362 -0.258  0.362 -0.258 -0.896
18      0.912  1.538 171.921   49.834   35.458   17.913 -0.797 -0.604  0.000  0.000  0.000 -1.000  0.604 -0.797  0.000
19      0.901  1.478 165.121  -50.166  -35.542   18.913 -0.797  0.000  0.604  0.604  0.000  0.797  0.000  1.000  0.000
20      0.901  1.476 164.976   59.834  -29.542   13.913 -0.258  0.362 -0.896 -0.362 -0.896 -0.258 -0.896  0.258  0.362
21      0.896  1.449 161.972  -40.166  -30.542   38.913  0.604  0.000  0.797  0.000 -1.000  0.000  0.797  0.000 -0.604
22      0.884  1.394 155.834   44.834   39.458    2.913 -0.896  0.362 -0.258  0.362  0.258 -0.896 -0.258 -0.896 -0.362
23      0.870  1.331 148.770   45.834   36.458   12.913 -1.000  0.000  0.000  0.000  0.604 -0.797 -0.000 -0.797 -0.604
24      0.869  1.329 148.469   -7.166   55.458   -3.087 -0.548  0.548 -0.632 -0.184 -0.816 -0.548 -0.816 -0.184  0.548
25      0.869  1.328 148.368   56.834  -24.542   13.913 -0.896  0.258 -0.362 -0.258  0.362  0.896  0.362  0.896 -0.258
26      0.867  1.321 147.662    8.834  -53.542   18.913  0.362 -0.258 -0.896  0.258 -0.896  0.362 -0.896 -0.362 -0.258
27      0.866  1.317 147.174   48.834   34.458    2.913 -0.896  0.362 -0.258  0.362  0.258 -0.896 -0.258 -0.896 -0.362
28      0.866  1.317 147.160   57.834   36.458   15.913  0.258  0.362 -0.896  0.362 -0.896 -0.258 -0.896 -0.258 -0.362
29      0.865  1.315 146.928   60.834  -28.542   13.913 -0.632 -0.548 -0.548 -0.548 -0.184  0.816 -0.548  0.816 -0.184
30      0.857  1.280 143.094  -56.166   18.458   18.913  0.184  0.548 -0.816 -0.548 -0.632 -0.548 -0.816  0.548  0.184
31      0.855  1.275 142.508  -57.166   15.458   29.913  0.000 -0.000 -1.000  0.604 -0.797  0.000 -0.797 -0.604  0.000
32      0.855  1.273 142.239    8.834   55.458  -10.087 -0.896 -0.362  0.258  0.362 -0.258  0.896 -0.258  0.896  0.362
33      0.852  1.262 141.017   55.834  -20.542   18.913 -0.797  0.000 -0.604 -0.604  0.000  0.797  0.000  1.000  0.000
34      0.852  1.262 141.012   47.834   30.458    0.913 -0.896  0.362  0.258 -0.362 -0.258 -0.896 -0.258 -0.896  0.362
35      0.849  1.253 140.019  -47.166  -37.542   12.913 -0.816  0.184  0.548  0.548  0.548  0.632 -0.184  0.816 -0.548
36      0.848  1.248 139.498   36.834   38.458   27.913  0.000  0.000 -1.000 -0.604 -0.797  0.000 -0.797  0.604  0.000
37      0.847  1.247 139.338  -41.166  -38.542   32.913 -0.816 -0.184  0.548  0.548 -0.548  0.632  0.184  0.816  0.548
38      0.845  1.238 138.369   -6.166  -56.542  -23.087  0.548 -0.548 -0.632 -0.184 -0.816  0.548 -0.816 -0.184 -0.548
39      0.845  1.238 138.356    3.834  -52.542    0.913 -0.896 -0.258 -0.362 -0.258 -0.362  0.896 -0.362  0.896  0.258
40      0.844  1.234 137.916   49.834   38.458    2.913 -0.797  0.604  0.000  0.000  0.000 -1.000 -0.604 -0.797  0.000
41      0.841  1.224 136.790   43.834  -31.542    6.913 -1.000  0.000  0.000  0.000 -0.000  1.000  0.000  1.000 -0.000
42      0.840  1.220 136.356  -19.166   57.458   18.913 -0.797 -0.604  0.000  0.000  0.000 -1.000  0.604 -0.797  0.000
43      0.834  1.202 134.340  -48.166   31.458    5.913  0.604  0.000  0.797  0.000 -1.000  0.000  0.797  0.000 -0.604
44      0.833  1.198 133.908   46.834   34.458    3.913 -0.896  0.362 -0.258  0.362  0.258 -0.896 -0.258 -0.896 -0.362
45      0.833  1.196 133.694  -52.166  -22.542  -23.087  0.000  0.797  0.604  1.000  0.000 -0.000 -0.000  0.604 -0.797
46      0.832  1.194 133.393    7.834  -61.542   20.913  0.000 -0.604 -0.797  0.000 -0.797  0.604 -1.000  0.000  0.000
47      0.830  1.189 132.857  -46.166  -33.542   13.913 -0.632 -0.548  0.548  0.548  0.184  0.816 -0.548  0.816  0.184
48      0.828  1.182 132.124  -58.166   24.458    2.913 -0.632 -0.548  0.548 -0.548 -0.184 -0.816  0.548 -0.816 -0.184
49      0.828  1.182 132.077  -55.166   15.458   31.913  0.000  0.604 -0.797 -0.000 -0.797 -0.604 -1.000  0.000  0.000
50      0.825  1.173 131.039   54.834  -16.542   32.913 -0.362  0.896 -0.258 -0.896 -0.258  0.362  0.258  0.362  0.896
51      0.825  1.172 130.928   49.834   27.458    3.913 -0.548 -0.184 -0.816  0.548 -0.816 -0.184 -0.632 -0.548  0.548
52      0.824  1.170 130.747   45.834  -10.542   17.913  0.548 -0.184 -0.816 -0.548 -0.816 -0.184 -0.632  0.548 -0.548
